ID,Recency,District,Area,Asking price UGX m,Units,Monthly rent UGX m,Gross yield %,Condition or tenure,Source,URL,Notes
34,Undated active,Wakiso,Namugongo Jogo,180,6,1.8,12.0,Rental units,Uganda Property Agents,https://www.ugandapropertyagents.com/rental-units/6-rental-units-for-sale-in-namugongo-jogo-town-making-1-8m-ugx-monthly-at-180m-ugx/,
35,Undated active,Wakiso,Bulenga,340,3,3.0,10.6,2-bedroom units; 32 decimals,Uganda Property Agents,https://www.ugandapropertyagents.com/rental-units/3-rental-units-of-2-bedrooms-each-for-sale-in-bulenga-making-3m-ugx-monthly-at-340m-ugx/,
36,Undated active,Wakiso,Kira Mulawa,150,3,1.8,14.4,2-bedroom rental houses; 50 x 100 ft,Uganda Property Agents,https://www.ugandapropertyagents.com/rental-units/3-rental-houses-of-2-bedrooms-making-1-8m-ugx-monthly-going-for-150m-ugx/,
37,Undated active,Wakiso,Kira Nakwero,160,3,1.8,13.5,2-bedroom units; 50 x 100 ft,Uganda Property Agents,https://www.ugandapropertyagents.com/rental-units/3-rental-units-of-2-bedrooms-each-in-kira-nakwero-for-sale-making-1-8m-ugx-monthly-at-160m-ugx/,
38,Undated active,Wakiso,Kirinya Bweyogerere,185,2,1.4,9.1,2-bedroom units; 11 decimals,Uganda Property Agents,https://www.ugandapropertyagents.com/rental-units/2-rental-units-of-2-bedrooms-for-sale-in-kirinya-bweyogerere-making-1-4m-ugx-monthly-at-185m-ugx/,
39,Undated active,Wakiso,Kyaliwajjala,600,9,5.4,10.8,Double rooms; 30 decimals,Uganda Property Agents,https://www.ugandapropertyagents.com/rental-units/9-rental-units-for-sale-in-kyaliwajjala-on-30-decimals-making-5-4m-ugx-per-month-at-600m-ugx/,
40,Undated active,Wakiso,Kitende,180,3,2.4,16.0,2-bedroom units,Uganda Property Agents,https://www.ugandapropertyagents.com/rental-units/3-rental-units-of-2-bedrooms-each-for-sale-in-kitende-making-2-4m-ugx-monthly-at-180m-ugx/,
41,Undated active,Wakiso,Namugongo,250,3,2.1,10.1,2-bedroom units,Uganda Property Agents,https://www.ugandapropertyagents.com/rental-units/3-rental-units-for-sale-in-namugongo-of-2-bedrooms-making-2-1m-ugx-monthly-at-250m-ugx/,
42,Undated active,Wakiso,Namugongo Misindye,200,3,2.0,12.0,2-bedroom units; 13 decimals,Uganda Property Agents,https://www.ugandapropertyagents.com/rental-units/3-rental-units-of-2-bedrooms-for-sale-in-namugongo-misindye-making-2m-ugx-monthly-at-200m-ugx/,
43,Undated active,Wakiso,Namugongo Sonde,280,5,2.5,10.7,1-bedroom units; 12 decimals,Uganda Property Agents,https://www.ugandapropertyagents.com/rental-units/5-rental-units-for-sale-in-namugongo-sonde-making-2-5m-ugx-monthly-at-280m-ugx/,
44,Undated active,Wakiso,Kyaliwajjala,325,6,2.7,10.0,1-bedroom units; 14 decimals,Uganda Property Agents,https://www.ugandapropertyagents.com/rental-units/6-rental-units-for-sale-in-kyaliwajjala-making-2-7m-ugx-monthly-at-325m-ugx/,
45,Undated active,Wakiso,Najjera Buwate,670,10,7.5,13.4,Mixed units; 28 decimals,Uganda Property Agents,https://www.ugandapropertyagents.com/apartments-for-sale-rent/block-of-apartments/10-units-apartments-block-for-sale-in-najjera-buwate-making-7-5m-monthly-at-670m-ugx/,
46,Undated active,Wakiso,Bweyogerere Kirinya,235,7,2.8,14.3,Self-contained rooms; titled 14 decimals stated,Uganda Property Agents,https://www.ugandapropertyagents.com/rental-units/7-rental-units-for-sale-in-bweyogerere-kirinya-making-2-8m-ugx-monthly-at-235m-ugx/,
47,Undated active,Wakiso,Najjera,590,7,5.2,10.6,Rental units,Uganda Property Agents,https://www.ugandapropertyagents.com/rental-units/7-rental-units-for-sale-in-najjera-making-5-2m-ugx-per-month-at-590m-ugx/,
48,Undated active,Wakiso,Namugongo,750,8,6.0,9.6,13 decimals,Uganda Property Agents,https://www.ugandapropertyagents.com/apartments-for-sale-rent/block-of-apartments/8-units-apartments-block-for-sale-in-namugongo-making-6m-ugx-monthly-at-750m-ugx/,
49,Undated active,Wakiso,Lweza Kajjansi,370,6,3.6,11.7,Entebbe Road,Uganda Property Agents,https://www.ugandapropertyagents.com/commercial/6-units-apartments-block-for-sale-in-lweza-kajjansi-entebbe-rd-making-3-6m-ugx-monthly-at-370m-ugx/,
50,Undated active,Wakiso,Kira Mulawa,750,12,8.4,13.4,1-bedroom units,Uganda Property Agents,https://www.ugandapropertyagents.com/apartments-for-sale-rent/block-of-apartments/12-units-apartments-block-for-sale-in-kira-making-8-4m-ugx-monthly-at-750m-ugx/,Possible duplicate of records 51 or an omitted 8.2m advert
51,Undated active,Wakiso,Kira,750,12,9.0,14.4,1-bedroom units,Uganda Property Agents,https://www.ugandapropertyagents.com/apartments-for-sale-rent/block-of-apartments/12-units-apartments-block-for-sale-in-kira-making-9m-ugx-monthly-at-750m-ugx/,Possible duplicate of record 50
52,Undated active,Wakiso,Kitende,550,"12 occupied + 4 unfinished",5.6,12.2,Two blocks; unit wording inconsistent,Uganda Property Agents,https://www.ugandapropertyagents.com/apartments-for-sale-rent/block-of-apartments/2-apartments-blocks-for-sale-in-kitende-of-12-units-making-5-6m-ugx-monthly-at-550m-ugx/,Confirm total completed units
53,Undated active,Wakiso,Namulanda,400,4,3.0,9.0,2-bedroom rental houses; 20 decimals,Uganda Property Agents,https://www.ugandapropertyagents.com/apartments-for-sale-rent/block-of-apartments/4-rental-houses-for-sale-in-namulanda-entebbe-rd-making-3m-monthly-on-20-decimals-at-400m/,
54,Undated active,Wakiso,Wakiso Town,200,7,1.8,10.8,50 x 100 ft,Uganda Property Agents,https://www.ugandapropertyagents.com/rental-units/7-rental-units-for-sale-in-wakiso-town-making-1-8m-monthly-at-200m/,
55,Undated active,Wakiso,Kira,550,8,5.2,11.3,13 decimals,Uganda Property Agents,https://www.ugandapropertyagents.com/apartments-for-sale-rent/block-of-apartments/8-units-apartment-block-for-sale-in-kira-5-2m-monthly-at-550m/,
56,Undated active,Wakiso,Kira Town,750,6,5.7,9.1,2-bedroom units,Uganda Property Agents,https://www.ugandapropertyagents.com/apartments-for-sale-rent/block-of-apartments/6-units-apartment-block-for-sale-in-kira-town-making-5-7m-monthly-at-750m/,
57,Undated active,Wakiso,Kira,730,12,6.6,10.8,1-bedroom units,Uganda Property Agents,https://www.ugandapropertyagents.com/apartments-for-sale-rent/block-of-apartments/12-apartments-units-for-sale-in-kira-making-6-6m-monthly-at-730m/,
58,Undated active,Wakiso,Kira,280,12,,,Shell block; 13 decimals,Uganda Property Agents,https://www.ugandapropertyagents.com/apartments-for-sale-rent/block-of-apartments/12-units-apartment-block-for-sale-in-kira-280m/,Completion budget required
59,Undated active,Wakiso,Kira Nsasa,420,4,,,2-bedroom units; 12 decimals,Uganda Property Agents,https://www.ugandapropertyagents.com/apartments-for-sale-rent/block-of-apartments/4-units-apartment-block-for-sale-in-kira-nsasa-at-420m/,
60,Undated active,Wakiso,Kira,600,6,4.2,8.4,1-bedroom units; 15 decimals,Uganda Property Agents,https://www.ugandapropertyagents.com/apartments-for-sale-rent/block-of-apartments/6-apartments-block-for-sale-in-kira-4-2m-monthly-at-600m-uganda-shillings/,
61,Undated active,Wakiso,Kira,750,9,5.8,9.3,15 decimals,Uganda Property Agents,https://www.ugandapropertyagents.com/apartments-for-sale-rent/block-of-apartments/9-units-apartment-block-for-sale-in-kira-5-8m-monthly-at-750m/,
62,Undated active,Wakiso,Kira,680,4,4.8,8.5,Apartment block,Uganda Property Agents,https://www.ugandapropertyagents.com/apartments-for-sale-rent/block-of-apartments/4-units-apartment-block-for-sale-in-kira-4-8m-monthly-680m/,
63,Undated active,Wakiso,Nakwero Gayaza,600,,5.5,11.0,2-bedroom apartments; 28 decimals,Uganda Property Agents,https://www.ugandapropertyagents.com/apartments-for-sale-rent/block-of-apartments/2-bedrooms-apartments-block-for-sale-in-nakwero-gayaza-making-5-5m-ugx-monthly-at-600m-ugx/,Confirm unit count
64,Undated active,Wakiso,Kyaliwajjala,650,6,6.0,11.1,3-bedroom units,Uganda Property Agents,https://www.ugandapropertyagents.com/apartments-for-sale-rent/block-of-apartments/6-units-3-bedroom-apartments-block-for-sale-in-kyaliwajjala-making-6m-ugx-monthly-at-650m-ugx/,
65,Undated active,Wakiso,Kasangati,650,6,7.2,13.3,2-bedroom units; 25 decimals,Uganda Property Agents,https://www.ugandapropertyagents.com/apartments-for-sale-rent/block-of-apartments/6-units-apartments-block-for-sale-in-kasangati-town-making-7-2m-ugx-monthly-at-650m-ugx/,
