ID,Scan status (25 Jul 2026),Recency,District,Area,Asking price UGX m,Units,Monthly rent UGX m,Gross yield %,L3 fully-loaded payback yrs,Land size,Tenure,Condition,Source,URL,Notes
16,Still listed,Added Feb 2026,Wakiso,Kyaliwajjala,320.0,4,2.4,9.0,18.4,12 decimals,,12 decimals,PropertyPro,https://www.propertypro.co.ug/property/1-bedroom-mini-flat-apartment-block-apartment-for-sale-kyaliwajjala-road-kampala-central-kampala-central-3ACPX,
17,Not found in re-scan,Added Jan 2026,Wakiso,Namugongo,500.0,,3.4,8.2,20.3,,,Apartment block,PropertyPro,https://www.propertypro.co.ug/property/1-bedroom-mini-flat-apartment-block-apartment-for-sale-namugongo-kampala-central-kampala-central-9ACNT,Confirm unit count
18,Not found in re-scan,Added Jan 2026,Wakiso,Namugongo,700.0,8,5.6,9.6,17.2,,,Apartment block,PropertyPro,https://www.propertypro.co.ug/property/1-bedroom-mini-flat-apartment-block-apartment-for-sale-namugongo-road-kampala-central-kampala-central-7ACNT,
19,Not found in re-scan,Added Jan 2026,Wakiso,Najjera,800.0,8,8.0,12.0,13.8,12 decimals,,12 decimals,PropertyPro,https://www.propertypro.co.ug/property/1-bedroom-mini-flat-apartment-block-apartment-for-sale-najjera-road-kampala-central-kampala-central-9ACNN,
20,Not found in re-scan,Added Jan 2026,Wakiso,Najjera,650.0,8,6.0,11.1,14.9,,,Apartment block,PropertyPro,https://www.propertypro.co.ug/property/1-bedroom-mini-flat-apartment-block-apartment-for-sale-najjera-road-kampala-central-kampala-central-5ACNJ,
21,Not re-verified,Undated active,Kampala,Mbuya Mutongo,380.0,House + 5 rentals,,,,50 decimals,,50 decimals,Uganda Property Agents,https://www.ugandapropertyagents.com/houses-for-sale-rent/houses-for-sale/4-bedrooms-house-with-5-rentals-for-sale-in-mbuya-mutongo-area-on-50-decimals-at-380m-ugx/,
22,Not re-verified,Undated active,Kampala,Kyanja Kungu,500.0,6,4.2,10.1,16.4,,,1-bedroom units,Uganda Property Agents,https://www.ugandapropertyagents.com/apartments-for-sale-rent/block-of-apartments/6-units-apartments-block-for-sale-in-kyanja-kungu-making-4-2m-ugx-going-for-500m-ugx/,
23,Not re-verified,Undated active,Kampala,Kawempe,320.0,4,3.2,12.0,13.8,,,2-bedroom units,Uganda Property Agents,https://www.ugandapropertyagents.com/apartments-for-sale-rent/block-of-apartments/4-units-apartments-block-of-2-bedrooms-for-sale-in-kawempe-making-3-2m-ugx-at-320m-ugx/,
24,Not re-verified,Undated active,Kampala,Munyonyo,800.0,8,7.0,10.5,15.8,,,Studio units,Uganda Property Agents,https://www.ugandapropertyagents.com/apartments-for-sale-rent/block-of-apartments/8-units-studio-apartments-block-for-sale-in-munyonyo-making-7m-ugx-monthly-at-800m-ugx/,
25,Not re-verified,Undated active,Kampala,Kawempe Kagoma,70.0,House + 4 rentals,,,,40 × 40 ft,,40 x 40 ft,Uganda Property Agents,https://www.ugandapropertyagents.com/houses-for-sale-rent/houses-for-sale/2-bedroom-house-plu-4-rentals-for-sale-in-kawempe-kagoma-bombo-road-on-40x40ft-at-70m-ugx/,
26,Not re-verified,Undated active,Wakiso,Kungu,450.0,Several,3.1,8.3,20.0,,,Apartment block,Uganda Property Agents,https://www.ugandapropertyagents.com/apartments-for-sale-rent/block-of-apartments/apartments-for-sale-in-kungu-making-3-1m-ugx-monthly-at-450m-ugx/,Confirm unit count
27,Not re-verified,Undated active,Wakiso,Seguku Katale,75.0,3,,,,50 × 50 ft,Title stated — verify,Shell units; titled 50 x 50 ft stated,Uganda Property Agents,https://www.ugandapropertyagents.com/rental-units/3-rental-units-for-sale-in-seguku-katale-on-50x50ft-titled-at-75m-ugx/,Completion budget required
28,Still listed,Undated active,Wakiso,Bweyogerere,270.0,5,2.5,11.1,14.9,,,Double rentals,Uganda Property Agents,https://www.ugandapropertyagents.com/rental-units/5-rental-units-for-sale-in-bweyogerere-making-2-5m-ugx-monthly-at-270m-ugx/,
29,Still listed,Undated active,Wakiso,Najjera,350.0,6,3.0,10.3,16.1,,,Rental units,Uganda Property Agents,https://www.ugandapropertyagents.com/rental-units/6-rental-units-for-sale-in-najjera-making-3m-ugx-monthly-at-350m-ugx/,
30,Still listed,Undated active,Wakiso,Kira Bulindo,270.0,5,2.75,12.2,13.5,14 decimals,,14 decimals,Uganda Property Agents,https://www.ugandapropertyagents.com/rental-units/5-rental-units-for-sale-in-kira-bulindo-making-2-75m-ugx-at-270m-ugx/,May be related to record 7
31,Still listed,Undated active,Wakiso,Namugongo,380.0,6,3.6,11.4,14.6,14 decimals,,14 decimals,Uganda Property Agents,https://www.ugandapropertyagents.com/rental-units/6-rental-units-for-sale-in-namugongo-making-3-6m-ugx-monthly-at-380m-ugx/,
32,Not re-verified,Undated active,Wakiso,Kira-Najjera Road,280.0,6 + 2 shops,3.0,12.9,12.9,13 decimals,,13 decimals,Uganda Property Agents,https://www.ugandapropertyagents.com/rental-units/6-rental-units-with-2-shops-for-sale-in-kira-najjera-rd-making-3m-ugx-monthly-at-280m-ugx/,
33,Still listed,Undated active,Wakiso,Sonde,200.0,3,1.95,11.7,14.1,13 decimals,,2-bedroom units; 13 decimals,Uganda Property Agents,https://www.ugandapropertyagents.com/rental-units/3-rental-units-of-2-bedrooms-for-sale-in-sonde-making-1-95m-ugx-monthly-at-200m-ugx/,Duplicate URL removed
34,Not re-verified,Undated active,Wakiso,Namugongo Jogo,180.0,6,1.8,12.0,13.8,,,Rental units,Uganda Property Agents,https://www.ugandapropertyagents.com/rental-units/6-rental-units-for-sale-in-namugongo-jogo-town-making-1-8m-ugx-monthly-at-180m-ugx/,
35,Not re-verified,Undated active,Wakiso,Bulenga,340.0,3,3.0,10.6,15.6,32 decimals,,2-bedroom units; 32 decimals,Uganda Property Agents,https://www.ugandapropertyagents.com/rental-units/3-rental-units-of-2-bedrooms-each-for-sale-in-bulenga-making-3m-ugx-monthly-at-340m-ugx/,
36,Not re-verified,Undated active,Wakiso,Kira Mulawa,150.0,3,1.8,14.4,11.5,50 × 100 ft,,2-bedroom rental houses; 50 x 100 ft,Uganda Property Agents,https://www.ugandapropertyagents.com/rental-units/3-rental-houses-of-2-bedrooms-making-1-8m-ugx-monthly-going-for-150m-ugx/,
37,Not re-verified,Undated active,Wakiso,Kira Nakwero,160.0,3,1.8,13.5,12.3,50 × 100 ft,,2-bedroom units; 50 x 100 ft,Uganda Property Agents,https://www.ugandapropertyagents.com/rental-units/3-rental-units-of-2-bedrooms-each-in-kira-nakwero-for-sale-making-1-8m-ugx-monthly-at-160m-ugx/,
38,Not re-verified,Undated active,Wakiso,Kirinya Bweyogerere,185.0,2,1.4,9.1,18.2,11 decimals,,2-bedroom units; 11 decimals,Uganda Property Agents,https://www.ugandapropertyagents.com/rental-units/2-rental-units-of-2-bedrooms-for-sale-in-kirinya-bweyogerere-making-1-4m-ugx-monthly-at-185m-ugx/,
39,Not re-verified,Undated active,Wakiso,Kyaliwajjala,600.0,9,5.4,10.8,15.3,30 decimals,,Double rooms; 30 decimals,Uganda Property Agents,https://www.ugandapropertyagents.com/rental-units/9-rental-units-for-sale-in-kyaliwajjala-on-30-decimals-making-5-4m-ugx-per-month-at-600m-ugx/,
40,Not re-verified,Undated active,Wakiso,Kitende,180.0,3,2.4,16.0,10.3,,,2-bedroom units,Uganda Property Agents,https://www.ugandapropertyagents.com/rental-units/3-rental-units-of-2-bedrooms-each-for-sale-in-kitende-making-2-4m-ugx-monthly-at-180m-ugx/,
41,Not re-verified,Undated active,Wakiso,Namugongo,250.0,3,2.1,10.1,16.4,,,2-bedroom units,Uganda Property Agents,https://www.ugandapropertyagents.com/rental-units/3-rental-units-for-sale-in-namugongo-of-2-bedrooms-making-2-1m-ugx-monthly-at-250m-ugx/,
42,Not re-verified,Undated active,Wakiso,Namugongo Misindye,200.0,3,2.0,12.0,13.8,13 decimals,,2-bedroom units; 13 decimals,Uganda Property Agents,https://www.ugandapropertyagents.com/rental-units/3-rental-units-of-2-bedrooms-for-sale-in-namugongo-misindye-making-2m-ugx-monthly-at-200m-ugx/,
43,Not re-verified,Undated active,Wakiso,Namugongo Sonde,280.0,5,2.5,10.7,15.4,12 decimals,,1-bedroom units; 12 decimals,Uganda Property Agents,https://www.ugandapropertyagents.com/rental-units/5-rental-units-for-sale-in-namugongo-sonde-making-2-5m-ugx-monthly-at-280m-ugx/,
44,Not re-verified,Undated active,Wakiso,Kyaliwajjala,325.0,6,2.7,10.0,16.6,14 decimals,,1-bedroom units; 14 decimals,Uganda Property Agents,https://www.ugandapropertyagents.com/rental-units/6-rental-units-for-sale-in-kyaliwajjala-making-2-7m-ugx-monthly-at-325m-ugx/,
45,Not re-verified,Undated active,Wakiso,Najjera Buwate,670.0,10,7.5,13.4,12.3,28 decimals,,Mixed units; 28 decimals,Uganda Property Agents,https://www.ugandapropertyagents.com/apartments-for-sale-rent/block-of-apartments/10-units-apartments-block-for-sale-in-najjera-buwate-making-7-5m-monthly-at-670m-ugx/,
46,Not re-verified,Undated active,Wakiso,Bweyogerere Kirinya,235.0,7,2.8,14.3,11.6,14 decimals,Title stated — verify,Self-contained rooms; titled 14 decimals stated,Uganda Property Agents,https://www.ugandapropertyagents.com/rental-units/7-rental-units-for-sale-in-bweyogerere-kirinya-making-2-8m-ugx-monthly-at-235m-ugx/,
47,Still listed,Undated active,Wakiso,Najjera,590.0,7,5.2,10.6,15.6,,,Rental units,Uganda Property Agents,https://www.ugandapropertyagents.com/rental-units/7-rental-units-for-sale-in-najjera-making-5-2m-ugx-per-month-at-590m-ugx/,
48,Not re-verified,Undated active,Wakiso,Namugongo,750.0,8,6.0,9.6,17.2,13 decimals,,13 decimals,Uganda Property Agents,https://www.ugandapropertyagents.com/apartments-for-sale-rent/block-of-apartments/8-units-apartments-block-for-sale-in-namugongo-making-6m-ugx-monthly-at-750m-ugx/,
49,Still listed,Undated active,Wakiso,Lweza Kajjansi,370.0,6,3.6,11.7,14.2,,,Entebbe Road,Uganda Property Agents,https://www.ugandapropertyagents.com/commercial/6-units-apartments-block-for-sale-in-lweza-kajjansi-entebbe-rd-making-3-6m-ugx-monthly-at-370m-ugx/,
50,Still listed,Undated active,Wakiso,Kira Mulawa,750.0,12,8.4,13.4,12.3,,,1-bedroom units,Uganda Property Agents,https://www.ugandapropertyagents.com/apartments-for-sale-rent/block-of-apartments/12-units-apartments-block-for-sale-in-kira-making-8-4m-ugx-monthly-at-750m-ugx/,Possible duplicate of records 51 or an omitted 8.2m advert
51,Still listed,Undated active,Wakiso,Kira,750.0,12,9.0,14.4,11.5,,,1-bedroom units,Uganda Property Agents,https://www.ugandapropertyagents.com/apartments-for-sale-rent/block-of-apartments/12-units-apartments-block-for-sale-in-kira-making-9m-ugx-monthly-at-750m-ugx/,Possible duplicate of record 50
52,Not re-verified,Undated active,Wakiso,Kitende,550.0,12 occupied + 4 unfinished,5.6,12.2,13.5,,,Two blocks; unit wording inconsistent,Uganda Property Agents,https://www.ugandapropertyagents.com/apartments-for-sale-rent/block-of-apartments/2-apartments-blocks-for-sale-in-kitende-of-12-units-making-5-6m-ugx-monthly-at-550m-ugx/,Confirm total completed units
53,Still listed,Undated active,Wakiso,Namulanda,400.0,4,3.0,9.0,18.4,20 decimals,,2-bedroom rental houses; 20 decimals,Uganda Property Agents,https://www.ugandapropertyagents.com/apartments-for-sale-rent/block-of-apartments/4-rental-houses-for-sale-in-namulanda-entebbe-rd-making-3m-monthly-on-20-decimals-at-400m/,
54,Not re-verified,Undated active,Wakiso,Wakiso Town,200.0,7,1.8,10.8,15.3,50 × 100 ft,,50 x 100 ft,Uganda Property Agents,https://www.ugandapropertyagents.com/rental-units/7-rental-units-for-sale-in-wakiso-town-making-1-8m-monthly-at-200m/,
55,Not re-verified,Undated active,Wakiso,Kira,550.0,8,5.2,11.3,14.6,13 decimals,,13 decimals,Uganda Property Agents,https://www.ugandapropertyagents.com/apartments-for-sale-rent/block-of-apartments/8-units-apartment-block-for-sale-in-kira-5-2m-monthly-at-550m/,
56,Still listed,Undated active,Wakiso,Kira Town,750.0,6,5.7,9.1,18.1,,,2-bedroom units,Uganda Property Agents,https://www.ugandapropertyagents.com/apartments-for-sale-rent/block-of-apartments/6-units-apartment-block-for-sale-in-kira-town-making-5-7m-monthly-at-750m/,
57,Still listed,Undated active,Wakiso,Kira,730.0,12,6.6,10.8,15.2,,,1-bedroom units,Uganda Property Agents,https://www.ugandapropertyagents.com/apartments-for-sale-rent/block-of-apartments/12-apartments-units-for-sale-in-kira-making-6-6m-monthly-at-730m/,
58,Still listed,Undated active,Wakiso,Kira,280.0,12,,,,13 decimals,,Shell block; 13 decimals,Uganda Property Agents,https://www.ugandapropertyagents.com/apartments-for-sale-rent/block-of-apartments/12-units-apartment-block-for-sale-in-kira-280m/,Completion budget required
59,Still listed,Undated active,Wakiso,Kira Nsasa,420.0,4,,,,12 decimals,,2-bedroom units; 12 decimals,Uganda Property Agents,https://www.ugandapropertyagents.com/apartments-for-sale-rent/block-of-apartments/4-units-apartment-block-for-sale-in-kira-nsasa-at-420m/,
60,Not re-verified,Undated active,Wakiso,Kira,600.0,6,4.2,8.4,19.7,15 decimals,,1-bedroom units; 15 decimals,Uganda Property Agents,https://www.ugandapropertyagents.com/apartments-for-sale-rent/block-of-apartments/6-apartments-block-for-sale-in-kira-4-2m-monthly-at-600m-uganda-shillings/,
61,Not re-verified,Undated active,Wakiso,Kira,750.0,9,5.8,9.3,17.8,15 decimals,,15 decimals,Uganda Property Agents,https://www.ugandapropertyagents.com/apartments-for-sale-rent/block-of-apartments/9-units-apartment-block-for-sale-in-kira-5-8m-monthly-at-750m/,
62,Not re-verified,Undated active,Wakiso,Kira,680.0,4,4.8,8.5,19.5,,,Apartment block,Uganda Property Agents,https://www.ugandapropertyagents.com/apartments-for-sale-rent/block-of-apartments/4-units-apartment-block-for-sale-in-kira-4-8m-monthly-680m/,
63,Not re-verified,Undated active,Wakiso,Nakwero Gayaza,600.0,,5.5,11.0,15.0,28 decimals,,2-bedroom apartments; 28 decimals,Uganda Property Agents,https://www.ugandapropertyagents.com/apartments-for-sale-rent/block-of-apartments/2-bedrooms-apartments-block-for-sale-in-nakwero-gayaza-making-5-5m-ugx-monthly-at-600m-ugx/,Confirm unit count
64,Not re-verified,Undated active,Wakiso,Kyaliwajjala,650.0,6,6.0,11.1,14.9,,,3-bedroom units,Uganda Property Agents,https://www.ugandapropertyagents.com/apartments-for-sale-rent/block-of-apartments/6-units-3-bedroom-apartments-block-for-sale-in-kyaliwajjala-making-6m-ugx-monthly-at-650m-ugx/,
65,Not re-verified,Undated active,Wakiso,Kasangati,650.0,6,7.2,13.3,12.4,25 decimals,,2-bedroom units; 25 decimals,Uganda Property Agents,https://www.ugandapropertyagents.com/apartments-for-sale-rent/block-of-apartments/6-units-apartments-block-for-sale-in-kasangati-town-making-7-2m-ugx-monthly-at-650m-ugx/,
66,New in Jul re-scan,Added 24 Jul 2026,Kampala,Kiwatule,450,n/s,4.0,10.7,15.5,,,2-bedroom units,PropertyPro,https://www.propertypro.co.ug/property/2-bedroom-apartment-block-apartment-for-sale-kiwatule-road-kampala-central-kampala-central-6ADAG,Unit count not stated on card
67,New in Jul re-scan,Added 21 Jul 2026,Kampala,Kawempe,300,n/s,3.2,12.8,12.9,,,2-bedroom units,PropertyPro,https://www.propertypro.co.ug/property/2-bedroom-apartment-block-apartment-for-sale-kawempe-kampala-central-kampala-central-5ADAC,Possible duplicate of UPA Kawempe 320m advert (price differs)
68,New in Jul re-scan,Added 20 Jul 2026,Wakiso,Kyaliwajjala,450,n/s,4.8,12.8,12.9,,,2-bedroom units,PropertyPro,https://www.propertypro.co.ug/property/2-bedroom-apartment-block-apartment-for-sale-kyaliwajjala-road-kampala-central-kampala-central-4ADAB,
69,New in Jul re-scan,Added 20 Jul 2026,Wakiso,Bweyogerere,270,n/s,3.0,13.3,12.4,,,1-bedroom units,PropertyPro,https://www.propertypro.co.ug/property/1-bedroom-mini-flat-apartment-block-apartment-for-sale-bweyogerere-kampala-central-kampala-central-3ADAB,Possible duplicate of UPA Bweyogerere 270m advert (rent differs)
70,New in Jul re-scan,Added 14 Jul 2026,Wakiso,Bweyogerere Kiwanga,160,n/s,1.5,11.2,14.7,,,2-bedroom units,PropertyPro,https://www.propertypro.co.ug/property/2-bedroom-apartment-block-apartment-for-sale-bweyogerere-kiwanga-kampala-central-kampala-central-8ACZW,
71,New in Jul re-scan,Added 14 Jul 2026,Wakiso,"Kiraka, Namugongo Rd",740,n/s,7.5,12.2,13.6,,,1-bedroom units,PropertyPro,https://www.propertypro.co.ug/property/1-bedroom-mini-flat-apartment-block-apartment-for-sale-kiraka-namugongo-road-kampala-central-kampala-central-7ACZW,
72,New in Jul re-scan,Added 14 Jul 2026,Wakiso,Naalya,700,n/s,,,,,,2-bedroom units,PropertyPro,https://www.propertypro.co.ug/property/2-bedroom-apartment-block-apartment-for-sale-naalya-road-kampala-central-kampala-central-0ACZW,Advert states income 1.5m — likely per unit; rent excluded pending confirmation
73,New in Jul re-scan,Added 13 Jul 2026,Wakiso,Seguku Katale,190,n/s,2.0,12.6,13.1,,,1-bedroom units,PropertyPro,https://www.propertypro.co.ug/property/1-bedroom-mini-flat-apartment-block-apartment-for-sale-seguku-katale-kampala-central-kampala-central-3ACZL,
74,New in Jul re-scan,Added 13 Jul 2026,Wakiso,Naalya Kimbejja,650,n/s,5.0,9.2,17.9,,,1-bedroom units,PropertyPro,https://www.propertypro.co.ug/property/1-bedroom-mini-flat-apartment-block-apartment-for-sale-naalya-kimbejja-kampala-central-kampala-central-2ACZL,
75,New in Jul re-scan,Added 07 Jul 2026,Wakiso,Namugongo Rd,150,n/s,,,,,,3-bedroom,PropertyPro,https://www.propertypro.co.ug/property/3-bedroom-apartment-block-apartment-for-sale-namugongo-road-kampala-central-kampala-central-3ACZH,Confirm it is a multi-unit block; no rent stated
76,New in Jul re-scan,Added 17 Apr 2026,Kampala,Kyanja,750,6,6.0,9.6,17.2,,,1-bedroom units,PropertyPro,https://www.propertypro.co.ug/property/1-bedroom-mini-flat-apartment-block-apartment-for-sale-kyanja-kampala-central-kampala-central-6ACUD,Twin advert 9ACTY (16 Apr) appears to be the same property
77,New in Jul re-scan,Added 25 Oct 2025,Wakiso,Namugongo Town,600,n/s,4.1,8.2,20.2,,,2-bedroom units,PropertyPro,https://www.propertypro.co.ug/property/2-bedroom-apartment-block-apartment-for-sale-namugongo-town-kampala-central-kampala-central-6ACGW,Older advert (Oct 2025) still indexed; not in June register
78,New in Jul re-scan,Added 23 Sep 2025,Wakiso,Najjera Rd,750,n/s,7.2,11.5,14.4,,,1-bedroom units,PropertyPro,https://www.propertypro.co.ug/property/1-bedroom-mini-flat-apartment-block-apartment-for-sale-najjera-road-kampala-central-kampala-central-9ACEK,Older advert (Sep 2025) still indexed
79,New in Jul re-scan,Added 01 Sep 2025,Wakiso,Najjera,600,n/s,6.0,12.0,13.8,,,Mixed units,PropertyPro,https://www.propertypro.co.ug/property/1-bedroom-mini-flat-apartment-block-apartment-for-sale-najjera-kampala-central-kampala-central-5ACDD,Older advert (Sep 2025) still indexed
80,New in Jul re-scan,Added 09 Sep 2025,Wakiso,Kyengera,650,n/s,6.4,11.8,14.0,,,2-bedroom units,PropertyPro,https://www.propertypro.co.ug/property/2-bedroom-apartment-block-apartment-for-sale-kyengera-kampala-central-kampala-central-4ACDP,Older advert (Sep 2025) still indexed
81,New in Jul re-scan,Undated active,Wakiso,Kira Town,650,8,5.6,10.3,16.0,,,Apartment block,Uganda Property Agents,https://www.ugandapropertyagents.com/apartments-for-sale-rent/block-of-apartments/8-units-apartments-block-for-sale-in-kira-town-making-5-6m-ugx-monthly-going-at-650m-ugx/,
82,New in Jul re-scan,Undated active,Wakiso,Kira,500,6,4.0,9.6,17.2,,,Apartment block,Uganda Property Agents,https://www.ugandapropertyagents.com/apartments-for-sale-rent/block-of-apartments/6-units-apartments-block-for-sale-in-kira-making-4m-monthly-at-500m-ugx/,
83,New in Jul re-scan,Undated active,Wakiso,Kira,350,9,4.5,15.4,10.7,,,Apartment block,Uganda Property Agents,https://www.ugandapropertyagents.com/apartments-for-sale-rent/block-of-apartments/9-units-apartments-block-for-sale-in-kira-making-4-5m-monthly-at-only-350m-ugx/,Highest advertised yield in current scan — verify carefully
84,New in Jul re-scan,Undated active,Wakiso,Kira,750,12,8.2,13.1,12.6,,,1-bedroom units,Uganda Property Agents,https://www.ugandapropertyagents.com/apartments-for-sale-rent/block-of-apartments/12-units-apartments-block-for-sale-in-kira-making-8-2m-monthly-at-750m-shillings/,Possible duplicate of the Kira 750m / 8.4m / 9m advert cluster
85,New in Jul re-scan,Undated active,Wakiso,Kira–Kasangati Rd,550,11,4.9,10.7,15.5,25 decimals,,25 decimals,Uganda Property Agents,https://www.ugandapropertyagents.com/rental-units/11-rental-units-for-sale-in-kira-kasangati-road-making-4-9m-ugx-on-25-deciamsl-at-550m-ugx/,
86,New in Jul re-scan,Undated active,Kampala,Kyanja,650,7,5.0,9.2,17.9,,,Rental units,Uganda Property Agents,https://www.ugandapropertyagents.com/rental-units/7-rental-units-for-sale-in-kyanja-making-5m-ugx-monthly-at-650m-ugx/,
87,New in Jul re-scan,Undated active,Wakiso,Namugongo,230,3,2.1,11.0,15.1,,,2-bedroom units,Uganda Property Agents,https://www.ugandapropertyagents.com/rental-units/3-rental-units-of-2-bedrooms-making-2-1m-ugx-monthly-for-sale-in-namugongo-at-230m-ugx/,Possible duplicate of June register Namugongo 250m advert — price now 230m
88,New in Jul re-scan,Active Jul 2026,Wakiso,Sonde (Hill View Est.),350,3,,,,17 decimals,Private Mailo (stated),70% complete; 17 decimals; Private Mailo,RED,https://www.realestatedatabase.net/FindAHouse/HouseDetails.aspx?HouseCode=252579,Unfinished; advert rent claims implausible — excluded. Budget completion costs
89,New in Jul re-scan,Active Jul 2026,Kampala,Kyanja Ring Rd,730,5,,,,100 × 100 ft,Private Mailo (stated),Shell; 5 x 3-bedroom; 100x100ft; Private Mailo,RED,https://www.realestatedatabase.net/FindAHouse/HouseDetails.aspx?HouseCode=253102,Shell block; agent projects 12.5m/month when complete. Budget completion costs
90,New in Jul re-scan,Active Jul 2026,Kampala,"Munyonyo, Salaama Rd",400,6,,,,30 decimals,,6 units; 30 decimals,RED,https://www.realestatedatabase.net/FindAHouse/HouseDetails.aspx?HouseCode=237974,No rent stated; RED lists district as Wakiso but Munyonyo is Kampala (Makindye)
91,New in Jul re-scan,Active Jul 2026,Wakiso,Lweza,370,6,3.6,11.7,14.2,11 decimals,Private Mailo (stated),6 x 1-bedroom; 11 decimals; Private Mailo,RED,https://www.realestatedatabase.net/FindAHouse/HouseDetails.aspx?HouseCode=250543,"Cross-source duplicate of UPA Lweza Kajjansi advert (same property, two agents)"
92,New in Jul re-scan,Active Jul 2026,Wakiso,Kyaliwajjala (Najjera),799.7,n/s,,,,,,Fully occupied; furnished 2-bed units,Jiji,https://jiji.ug/central-division/houses-apartments-for-sale/furnished-2bdrm-block-of-flats-in-najjera-corporate-central-division-fc2gla2WMIbet7agGUubFUQI.html,Advert headline says Najjera but text says Kyaliwajjala; no rent figure stated
